Location,Location,District,District,獸醫診所名稱 (Chinese),Name of Vet Clinic (English),營業地址,Address,Call Phone Number,WhatsApp Number,24 hours,Website ,Opening Time,Google Review Link
Kowloon,九龍,九龍城區,Kowloon City District,寵心動物診所,Ivet Animal Clinic,九龍紅磡寶其利街73號東熹苑1樓C舖,"Shop C, 1/F, Tung Hei Court, 73 Bulkeley Street, Hung Hom, KLN.",2877 6780,6423 8296,,https://www.facebook.com/p/%E5%AF%B5%E5%BF%83-iVet-Animal-Clinic-100063728333114/,10:00am-7:00pm,
New Territories,新界,大埔區,Tai Po District,Jack’s Veterinary Hospital,Jack’s Veterinary Hospital,香港新界大埔翠和里5號麗和閣地下舖,"Shop E, G/F, Reve Plaza, 5 Chui Wo Lane, Tai Po, N.T.",6168 6175,6168 6175,,https://j-vet.com/?srsltid=AfmBOoryp1xNYskZnpciIbDQUg9lvUOnncVGjWa3BhJtvfPHFq--09J5,10:00am-7:00pm,
New Territories,新界,元朗區,Yuen Long District,元朗動物診所,Johnny & Vivian Animal Clinic,香港新界元朗又新街39號地下,"G/F, 39 Yau San Street, Yuen Long, N.T.",2478 8733,N/A,,N/A,"10:00am-1:00pm, 3:00pm-7:00pm
Wed10:00am-1:00pm
Sun 2:00-6:00pm",
Kowloon,九龍,油尖旺區,Yau Tsim Mong District,繽紛寵物診所,Joy n Fun Veterinary Clinic,九龍大角咀大津街20號地下B舖,"Flat B, G/F, 20 Tai Tsun Street, Tai Kok Tsui, KLN.",2787 2338,joynfunvet@yahoo.com.hk,,https://www.facebook.com/joynfunveterinary/,"9:30am-7:00pm
Wed - Closed
Sun 9:30am-5:30pm",
Kowloon,九龍,九龍城區,Kowloon City District,加多利動物醫院,Kadoorie Animal Hospital,九龍何文田梭椏道23B地下,"23B Soares Ave, Ho Man Tin",2762 9700,94498801,,https://www.facebook.com/kadoorieanimalhospital/,10:00am-8:00pm,
Kowloon,九龍,九龍城區,Kowloon City District,啟德動物醫院,Kai Tak Veterinary Hospital,九龍土瓜灣桂州街4N號安興大廈地下2號舖,"Shop 2, G/F, On Hing Building, 4N Kwei Chow Street, To Kwa Wan, KLN.",2116 4417,2116 4417,,https://kaitakvet.com/?lang=en,9:30am-7:30pm,
Kowloon,九龍,深水埗區,Sham Shui Po District,嘉名動物診所,KM Animal Clinic,香港九龍深水埗石硤尾街10號地舖,"G/F, 10 Shek Kip Mei Street, Sham Shui Po, Kowloon",2396 3511,N/A,,https://www.facebook.com/KManimalclinic/,"9:00am-5:00pm
Tues - CLOSED",
Kowloon,九龍,深水埗區,Sham Shui Po District,九龍貓醫院,Kowloon Cat Hospital,香港九龍深水埗鴨寮街22號地舖,"G/F, 22 Apliu Street, Sham Shui Po, Kowloon",2309 2011,N/A,,https://www.facebook.com/groups/catiscat/posts/29067484206231106/,"10:00am-7:00pm
Wed 10:00am-2:00pm
Sat-Sun 10:00am-8:00pm",
Kowloon,九龍,九龍城區,Kowloon City District,九龍動物醫院,Kowloon Veterinary Hospital,九龍九龍城聯合道2號裕聯大廈地下,"G/F, Yue Luen Mansion, 2 Junction Road, Kowloon City, KLN.",2382 3300,53350069,,https://www.facebook.com/p/Kowloon-Veterinary-Hospital-100063937449996/,10:00am-7:00pm,
Kowloon,九龍,油尖旺區,Yau Tsim Mong District,西九龍動物醫院,Kowloon West Animal Hospital,九龍佐敦文苑街2號地下,"G/F, 2 Man Yuen Street, Jordan, KLN.",3500 5800,Peticare.hk@gmail.com,N,https://www.facebook.com/kwah.jordan/,9:00am-7:00pm,
New Territories,新界,葵青區,Kwai Tsing District,葵興獸醫診所,Kwai Hing Veterinary Clinic,香港新界葵涌光輝圍27至39號葵景大廈5A號地舖,"Shop 5A, G/F, Kwai King Building, 27–39 Kwong Fai Circuit, Kwai Chung, N.T.",2792 2007,85267976907,,https://www.facebook.com/KwaiHingVetClinic/,"10:30am-9:00pm
Thurs - Closed",
Kowloon,九龍,深水埗區,Sham Shui Po District,荔枝角獸醫診所,Lai Chi Kok Veterinary Clinic,香港九龍荔枝角福華街571號High One商場G/F 8號舖,"Shop 8, G/F, High One Mall, 571 Fuk Wa Street, Lai Chi Kok, Kowloon",2368 6888,N/A,,N/A,9:00am-11:00pm,
New Territories,新界,離島區 ,Islands District,南丫島獸醫診所,Lamma Veterinary Clinic,香港南丫島榕樹灣大街64號地下,"G/F, 64 Yung Shue Wan Main Street, Lamma Island, N.T.",2982 2481,N/A,,N/A,"6:00pm-10:00pm
Sat & Sun 9:00am-11:00am
Mon, Wed, Fri - CLOSED",
Kowloon,九龍,九龍城區,Kowloon City District,力高動物診所,Lego Animal Clinic,九龍何文田亞皆老街120號麗寶大廈地下F舖,"Shop F, G/F, La Belle Mansion, 120 Argyle Street, Ho Man Tin, KLN.",2526 8068,61392333,,N/A,11:00am-8:00pm,
New Territories,新界,荃灣區 ,Tsuen Wan District,深井深健獸醫診所,Life@Pet Veterinary Clinic,香港新界深井村89號地下及1樓,"G/F & 1/F, 89 Sham Tseng Village, Sham Tseng, N.T.",2496 9833,6202 1002,,N/A,"10:00am-8:00pm
Wed - Closed",
New Territories,新界,元朗區,Yuen Long District,獅樂獸醫院,Lion Rock Veterinary Hospital,香港新界元朗俊賢坊8號兆日樓K號地舖,"Shop K, G/F, Shiu Yat Building, 8 Chun Yin Square, Yuen Long, N.T.",3188 8911,9088 3865,,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.lionrockvet.com%2F&h=AT192eu4qk5fBVOBWhg1tqAfNY_22TDmM0-gssmBTZO7ibvfn_u4pAXAlPSRLkOut7nPkceggduCjjg4Fd2Hkfk5_eEQEEZwGl01wDCJXoVE9K9ZtcgdwKGyTrOclh7AvNxvWjoQsrK75y-mLOPFWw,10:00am-8:00pm,
New Territories,新界,沙田區 ,Sha Tin District ,馬鞍山動物醫療中心,Ma On Shan Animal Medical Centre,"香港新界馬鞍山福安街G/F, Fok On Garden","Shop 2 & 17, G/F, Fok On Garden, Ma On Shan, N.T.",2633 8506,N/A,,N/A,"9:00am-7:00pm
Sun 10:00am-6:00pm",
New Territories,新界,葵青區,Kwai Tsing District,豐盈動物專科及急症醫院,Harvest Veterinary Specialty & Emergency Hospital,香港新界葵豐街38-42號大鴻輝(葵涌)中心2期地下2號鋪及9樓,"Tower 2, Yoohoo Tower, Shop 2, G/F; 9/F, Magnet Place, Kwai Fung Cres, Kwai Chung",3102 8528,6011 7149,Y,https://hvoc.com.hk/,Open 24hrs daily,
Kowloon,九龍,深水埗區,Sham Shui Po District,楓樹珍禽異獸獸醫院,Maple Exotic Veterinary Hospital,香港九龍深水埗楓樹街9-13號1樓,"1/F, 9–13 Maple Street, Sham Shui Po, Kowloon",3579 4838,mapleexoticvet@gmail.com,,https://www.facebook.com/maplevet/,9:30am-7:00pm,
Kowloon,九龍,深水埗區,Sham Shui Po District,楓樹獸醫診所,Maple Veterinary Hospital,香港九龍深水埗楓樹街9-13號華楓樓地下,"G/F, Wah Fung Building, 9–13 Maple Street, Sham Shui Po, Kowloon",3576 3288,9221 6598,,https://maplevethosp.com.hk/,9:00am-9:00pm,
Kowloon,九龍,深水埗區,Sham Shui Po District,美孚獸醫診所,Mei Foo Veterinary Hospital,香港九龍荔枝角美孚新邨商場7B號N4舖,"Shop N4, 7B, Mei Foo Sun Chuen Shopping Centre, Lai Chi Kok, Kowloon",2743 8885,2743 8885,,N/A,"10:00am-8:00pm
Sun - Closed",
Hong Kong Island,港島,中西及南區,"Central, Western and Southern District",半山獸醫中心,Mid Levels Veterinary Centre,香港半山必列者士街80–82號地下,"G/F, 80–82 Peel Street, Mid-Levels, HK",2140 6581,N/A,,https://amcvet.com.hk/en/contact-us/,"9:00am-9:00pm
Sun & public holidays 10:00am-7:00pm",
Hong Kong Island,港島,中西及南區,"Central, Western and Southern District",半山貓醫院,Mid-Levels Cat Hospital,香港般咸道3號寶豪苑地下A舖,"Shop A, G/F, Bonanza Court, 3 Bonham Road, HK",2688 0013,67738596,,https://www.mlcathospital.com/zh/pages/contact-us,9:00am-7:00pm,
Kowloon,九龍,油尖旺區,Yau Tsim Mong District,旺角動物診所,Mongkok Animal Clinic,九龍旺角窩打老道66A號地下,"G/F, 66A Waterloo Road, KLN.",2760 1026,N/A,,N/A,"9:30am-12:30pm, 3:30-7:00pm
Wed - Closed
Sun - 2:00-4:30pm, 7:30-Midnight",
Kowloon,九龍,油尖旺區,Yau Tsim Mong District,旺角關愛非牟利動物診所,Mongkok Great Love Non-Profit Animal Clinic,九龍旺角西洋菜北街177號,"177 Sai Yeung Choi Street North, Mong Kok, KLN.",2399 7783,N/A,,N/A,10:00am-9:00pm,
Kowloon,九龍,觀塘區,Kwun Tong District,街坊動物醫院,Neighbor Animal Hospital,九龍觀塘曉光街34–36號地下,"G/F, 34–36 Hiu Kwong Street, Kwun Tong, KLN.",2191 8993,5722 3738,,https://www.facebook.com/neighboranimalhospital/,10:00am-8:00pm,
Kowloon,九龍,油尖旺區,Yau Tsim Mong District,麥花臣動物診所,Macpherson Animal Clinic,九龍旺角洗衣街26號興業樓地下,"G/F, Hing Yip House, 26 Sai Yee Street, Mong Kok, KLN.",2781 2386,85246145386,Y,https://www.macpherson.com.hk/,Open 24hrs daily,
Hong Kong Island,港島,東區,Eastern District,非牟利獸醫診所（北角）,Non-Profit Making Veterinary Clinic (North Point),香港北角和富道116號康和大廈地下C2舖,"Shop C2, G/F, Conwell Mansion, 116 Wharf Road, North Point, HK",3707 1360,N/A,,N/A,PERMANENTLY CLOSED - GOOGLE,
Hong Kong Island,港島,東區,Eastern District,北角動物醫院,North Point Animal Hospital,香港北角清華街1至3號UG樓,"UG/F, 1-3 Ching Wah Street, North Point, HK",2307 6622,85223076622,Y,https://www.northpointvets.com.hk/?gad_source=1&gad_campaignid=19079229097&gbraid=0AAAAAC-8rkBU6LiJMo_0I1kWoDqlMJ0e4&gclid=Cj0KCQjwn8XFBhCxARIsAMyH8BvwA0nMMVg2AUpO0Tt0eLoDPDvF02q4CHq7RGiWPH-knofGbriY1CIaAm4JEALw_wcB,Open 24hrs daily,
New Territories,新界,新界北區,New Territories North District,北區動物診所,Northern Animal Clinic,香港新界上水豐景路55號地下,"G/F, 55 San Fung Avenue, Sheung Shui, N.T.",2311 1707,9287 8780,,http://www.northernanimal.com.hk/,"Mon 10:30-6:30pm
Tues-Sun 10:30am-2:00pm, 3:00-9:00pm",
New Territories,新界,屯門區 ,Tuen Mun District,東方獸醫診所,Oriental Veterinary Clinic (Tuen Mun),香港新界屯門良田新村107號地下,"G/F, 107 Leung Tin Sun Tsuen, Tuen Mun, N.T.",2441 9816,tmorientalvet@hotmail.com,,N/A,"9:00am-1:00pm, 3:30pm-7:30pm",
New Territories,新界,元朗區,Yuen Long District,東方獸醫診所(元朗),Oriental Veterinary Clinic (Yuen Long),香港新界元朗鳳攸北街昌威大廈26–27號地舖,"Shop 26–27, G/F, Cheong Wai Building, Fung Yau Street North, Yuen Long, N.T.",2474 7680,orientalveterinary@yahoo.com.hk,,N/A,10:00am-8:00pm,
New Territories,新界,沙田區 ,Sha Tin District ,俊匯動物醫療中心,Otto Veterinary Centre,香港新界沙田積存街54號葵滙大廈B舖,"Shop B, G/F, Kwai Wai Building, 54 Chik Shun Street, Tai Wai, Sha Tin, N.T.",2687 0226 ,N/A,,N/A,10:00am-10:00pm,
New Territories,新界,荃灣區 ,Tsuen Wan District,珀麗灣獸醫診所,Park Island Animal Clinic,香港新界馬灣北街322號地下,"G/F, 322 Ma Wan Main Village North, Ma Wan, N.T.",6738 3280,6738 3280,,N/A,"7:30am-10:00pm
Sat 2:00-10:00pm
Sun, Tues, Fri - Closed",
New Territories,新界,元朗區,Yuen Long District,柏圃獸醫診所,Patel Veterinary Clinic,香港新界元朗泰豐街20–24號普利樓地下D舖,"Shop D, G/F, Polly Mansion, 20–24 Tai Fung Street, Yuen Long, N.T.",2443 9893,N/A,,N/A,"10:00am-7:30pm
Thurs - Closed",
New Territories,新界,沙田區 ,Sha Tin District ,火炭動物醫療中心,Pawlistic Veterinary Medical Centre,香港新界火炭坳背灣街27–31號協興工業中心地下B1A舖,"Shop B1A, G/F, Unison Industrial Centre, 27–31 Au Pui Wan Street, Fo Tan, N.T.",2156 2086,info@pawlisticvmc.com,,N/A,9:00am-11:00pm,
Hong Kong Island,港島,中西及南區,"Central, Western and Southern District",Paws and Tails Veterinary Hospital,Paws and Tails Veterinary Hospital,香港上環普仁街4號,"4 Po Yan Street, Sheung Wan, HK",2832 2836,9870 5711,,https://www.pawsandtailshk.com/,"9:00am-1:00pm, 2:00-7:00pm",
New Territories,新界,沙田區 ,Sha Tin District ,毛守獸醫中心,Paws Guardian Veterinary Centre,香港新界火炭坳背灣街26–28號富騰工業中心1樓03室 (正門入口於松頭下路),"Room 03, 1/F, Fo Tan Industrial Centre, 26–28 Au Pui Wan Street, Fo Tan, N.T. (Main entrance is on Tsun Tau Ha Road)",2333 4666,info@pgvc.life,,N/A,"10:00am-7:00pm
Wed - Closed",
New Territories,新界,大埔區,Tai Po District,懷仁動物醫院,Pawspal Animal Hospital,香港新界大埔懷仁街31號舖,"G/F, 31 Wai Yan Street, Tai Po, N.T.",2191 5636,2191 5636,,https://www.facebook.com/pawspalanimalhospital/,"9:00am-2:00pm, 3:00-7:00pm",
Kowloon,九龍,觀塘區,Kwun Tong District,寵誠動物醫院,PawSure Veterinary Hospital,九龍牛頭角馬蹄徑1號寶欣大廈地下7號舖,"Shop 7, G/F, Bo Yan Building, 1 Horse Shoe Lane, Ngau Tau Kok, KLN.",3611 2877,info@pawsurevets.com,,https://www.pawsurevets.com/,9:30am-7:30pm,
New Territories,新界,大埔區,Tai Po District,仁德動物醫院,Pet Cares Professional Veterinary Services,香港新界大埔瑞安街6號地下,"G/F, 6 Sui On Street, Tai Po, N.T.",2638 2869,petcareshk@gmail.com,Y,https://petcares.hk/en/,Open 24hrs daily,
New Territories,新界,元朗區,Yuen Long District,錦田動物醫院,Pet Elements Animal Hospital,香港新界錦田市街108號地下,"G/F, 108 Kam Tin Shi, Kam Tin, Yuen Long, N.T.",2475 2851,N/A,,,"10:00am-1:00pm, 4:00-8:00pm",
New Territories,新界,沙田區 ,Sha Tin District ,哈比寵物獸醫中心,Pet Medics Veterinary Centre,香港新界沙田積信街75號A舖,"Shop A, G/F, 75 Chik Shun Street, Sha Tin, N.T.",2850 6088,N/A,,,No records online,
New Territories,新界,西貢區 ,Sai Kung District,西貢獸醫醫院,Pet Space Sai Kung Veterinary Hospital,香港新界西貢灰鰓下208號地下,"G/F, 208 Fui Yiu Ha, Sai Kung, N.T.",2792 8555,5340 6101,,https://petspace.group/en_hk/our-clinics/,9:00am-7:00pm,
Kowloon,九龍,九龍城區,Kowloon City District,柏域獸醫診所,Pet’ n Vet Clinic,九龍九龍城南角道32號地下,"G/F, 32 South Wall Road, Kowloon City, KLN.",2382 0228,23820228,,https://www.facebook.com/p/%E6%9F%8F%E5%9F%9F%E7%8D%B8%E9%86%AB%E8%A8%BA%E6%89%80-PETn-Vet-Clinic-100063625587184/,11:00am-10:00pm,
New Territories,新界,西貢區 ,Sai Kung District,西貢仁愛獸醫診所,Petcore Sai Kung,香港新界西貢宜春街66號2號鋪,"Shop 2, 66 Yi Chun Street, Sai Kung, N.T.",2394 4228,6749 1546,,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.petcore-vet.com%2F&h=AT0JAVqFJUd0eiGpTGXGBBojOuCianoPp28szhHn3iEN8MwYmPIH3snS_j6WO7vPcZElsc-mUjaPAnYzfR1SbvfQduWA5pHeI-1kEXCgiIC8Edd5d0bn9fpyFeW7aVrpvUH9t2q19gDQ902Avk6geQ,9:00am-7:00pm,
New Territories,新界,元朗區,Yuen Long District,元朗仁愛獸醫所,Petcore Veterinary Clinic,香港新界元朗安寧路110–136A號12號舖,"Shop 12, G/F, 110–136A On Ning Road, Yuen Long, N.T.",2394 7300,6352 4857,,N/A,,
Kowloon,九龍,觀塘區,Kwun Tong District,珍寵東九龍動物醫院,Peticare Kowloon East Animal Hospital,九龍觀塘東明街9號地下,"G/F, 9 Tung Ming Street, Kwun Tong, KLN.",2345 6504,9088 8652,Y,https://www.peticare.com.hk/en,Open 24hrs daily,
Kowloon,九龍,油尖旺區,Yau Tsim Mong District,Pets Central 旺角動物醫院,Pets Central Mong Kok Hospital,九龍旺角上海街484–488號新明大廈1–2樓,"1/F & 2/F, Sun Ming Building, 484–488 Shanghai Street, Mong Kok, KLN.",2309 2139,85255433122,Y,https://pets-central.com/tc,Open 24hrs daily,
Hong Kong Island,港島,東區,Eastern District,Pets Central 北角,Pets Central North Point,香港北角渣華道70號欣和大廈地下,"G/F, Yan Wo Building, 70 Jawa Road, North Point, HK",2811 8907,92685665,Y,https://pets-central.com/tc,Open 24hrs daily,
New Territories,新界,西貢區 ,Sai Kung District,Pets Central 西貢動物醫院,Pets Central Sai Kung Animal Hospital,香港新界西貢宜春街66號8號鋪,"Shop 8, 66 Yi Chun Street, Sai Kung, N.T.",2792 0833,admin@pets-central.com,,https://petspace.group/en_hk/our-clinics/,9:30am-7:30pm,
New Territories,新界,西貢區 ,Sai Kung District,將軍澳動物醫院,Pets Central Tseung Kwan O,香港新界將軍澳唐德街9號將軍澳中心B01A鋪,"Shop B01A, Park Central, 9 Tong Tak Street, Tseung Kwan O, N.T.",2244 6684,5405 6509,,https://pets-central.com/tc,8:30am-8:30pm,
Kowloon,九龍,九龍城區,Kowloon City District,柏衛獸醫診所,Petwise Veterinary Clinic,九龍紅磡漆咸道北436–450號富榮大廈地下2號舖,"Shop 2, G/F, Full Wing Building, 436–450 Chatham Road North, Hung Hom, KLN.",2334 3538,N/A,,,"10:00am-2:00pm, 4:00-9:00pm",
Hong Kong Island,港島,灣仔區,Wan Chai District,皇后大道東獸醫診所,Phoenix Animal Clinic,香港灣仔日街2號地下,"G/F, 2 Sun Street, Wan Chai, HK",2865 4320,85260851797,,https://www.phoenixanimalclinic.com.hk/en/contact.php,"9:00am-1:00pm, 2:30pm-6:00pm
Sat 9:00am-1:00pm, 2:00pm-5:00pm
Sun & Public holidays - Closed",
New Territories,新界,大埔區,Tai Po District,寶湖動物醫院有限公司,Plover Cove Animal Hospital Ltd,香港新界大埔同茂坊7號地下,"G/F, 7 Tung Mau Square, Tai Po, N.T.",2653 0123,9433 0173,,https://www.facebook.com/p/Plover-Cove-Animal-Hospital-Ltd-100063984995856/,"9:00am-1:00pm, 2:00-6:00pm",
New Territories,新界,大埔區,Tai Po District,普益獸醫診所,Po Yick Veterinary Clinic,香港新界大埔普益街19號地下,"G/F, 19 Po Yick Street, Tai Po, N.T.",2653 3632,N/A,,,10:00am-10:00pm,
Kowloon,九龍,九龍城區,Kowloon City District,PPC 動物診所,PPC Precious Pet Clinic,香港九龍土瓜灣美景街87號昌景閣地鋪,"G/F , NO, 87 Mei King St, To Kwa Wan",,61805618,,https://www.facebook.com/preciouspet.clinic/?locale=zh_HK,9:30am-7:30pm,
Kowloon,九龍,油尖旺區,Yau Tsim Mong District,太子動物醫療診所,Prince Animal Clinic,九龍太子荔枝角道75號地下,"G/F, 75 Lai Chi Kok Road, Prince Edward, KLN.",2380 8408,N/A,,,"10:30am-7:00pm
Thurs - Closed",
Kowloon,九龍,深水埗區,Sham Shui Po District,Pulsevet獸醫中心,Pulsevet Veterinary Centre,香港九龍深水埗大南街207至209號地舖,"G/F, 207–209 Tai Nan Street, Sham Shui Po, Kowloon",9238 8202,9238 8202,,https://pulsevet.co/,9:00am-7:00pm,
Hong Kong Island,港島,中西及南區,"Central, Western and Southern District",西區獸醫診所,QueenWest Veterinary Clinic,香港西營盤皇后大道西303號地下,"G/F, 303 Queen's Road West, Sai Ying Pun, HK",2858 2211,qvchk@ymail.com,,https://www.qvg.pet/qvc,"10:00am-1:00pm, 3:00-10:30pm",
New Territories,新界,屯門區 ,Tuen Mun District,彩虹獸醫診所,Rainbow Veterinary Clinic,香港新界屯門良田村58號地下,"G/F, 58 Leung Tin Chuen, Tuen Mun, N.T.",2430 9581,yahrainvet@yahoo.com,,https://yahrainvet.wixsite.com/clinic,"10:00am-1:30pm, 3:30-8:00pm
Thurs - Closed",
New Territories,新界,元朗區,Yuen Long District,Rurumi獸醫診所,Rurumi Veterinary Clinic,香港新界元朗錦綉花園大道20號A舖,"Shop A, 20 Fairview Park Boulevard, Yuen Long, N.T.",2366 2600,N/A,,,No record online,
New Territories,新界,元朗區,Yuen Long District,伍威權動物醫療中心,SAA Albert Wu Veterinary Centre,香港新界元朗安樂路35–47號利群樓地下,"G/F, Lee Kwan Building, 35–47 On Lok Road, Yuen Long, N.T.",2475 2231,N/A,,,No record online,
New Territories,新界,西貢區 ,Sai Kung District,西貢動物醫院,Sai Kung Animal Hospital,香港新界西貢萬年街30號地下,"G/F, 30 Man Nin Street, Sai Kung, N.T.",2792 2206,9671 7336,,https://www.google.com/aclk?sa=L&ai=DChsSEwijq4-D8L6PAxUG1RYFHfpYEBcYACICCAEQABoCdGw&co=1&ase=2&gclid=Cj0KCQjw8eTFBhCXARIsAIkiuOz9lfEt5GWP9gTgFYafXhS83N6vSZ9fQW5S0bbORXPL8CpwX7f06cYaApqtEALw_wcB&cce=2&category=acrcp_v1_32&sig=AOD64_0bqvpab_H39poj5wHukwnWNvr3Kw&q&nis=4&adurl&ved=2ahUKEwiN3IWD8L6PAxXIfvUHHfxtKokQ0Qx6BAgVEAs,8:30am-6:30pm,
New Territories,新界,沙田區 ,Sha Tin District ,西沙路動物醫院,Sai Sha Road Animal Hospital,香港新界馬鞍山鞍山路1號馬鞍山中心地下A13舖,"Shop A13, G/F, Ma On Shan Centre, 1 On Chun Street, Ma On Shan, N.T.",2630 5980,85298663669,,N/A,9:00am-7:00pm,
Hong Kong Island,港島,東區,Eastern District,西灣河獸醫診所,Sai Wan Ho Veterinary Clinic,香港西灣河街94B號地下,"G/F, 94B Sai Wan Ho Street, HK",2967 4899,85254842324,,http://www.swhvet.com/,10:30am-8:30pm,
Kowloon,九龍,九龍城區,Kowloon City District,恩職獸醫診所,Salutaris Veterinary Clinic Limited,九龍九龍城德蘭道76號,"76 Tak Ku Ling Road, Kowloon City, KLN.",2882 4882,salutaris.vc@gmail.com,,,10:00am-7:00pm,
New Territories,新界,屯門區 ,Tuen Mun District,新墟動物醫療中心,San Hui Animal Medical Center,香港新界屯門德政圍18號海盛大廈3號舖,"Shop 3, Hoi Shing Building, 18 Tak Ching Court, Tuen Mun, N.T.",3460 4325,sanhuiah2020@gmail.com,,,10:00am-8:00pm,
New Territories,新界,沙田區 ,Sha Tin District ,沙田圍寵物診所,Sha Tin Wai Pet Clinic,香港新界沙田圍18–12號花園城1期地下3A–3F舖,"Shop 3A–3F, G/F, Shatin Phase 1, 8–12 Sha Kok Street, Sha Tin, N.T.",2155 2568,shatinwaivets@gmail.com,,https://www.cppcswpc.com/,10:00am-7:00pm,
New Territories,新界,荃灣區 ,Tsuen Wan District,沙咀道獸醫動物及珍禽異獸醫院,Sha Tsui Road Vet Small Animal And Exotics Hospital,香港新界荃灣沙咀道186號地下,"G/F, 186 Sha Tsui Road, Tsuen Wan, N.T.",2623 5500,shatsuivet@biznetvigator.com,,https://www.shatsuiroadvet.com.hk/,10:00am-8:00pm,
New Territories,新界,沙田區 ,Sha Tin District ,沙田動物醫院,Shatin Animal Hospital,香港新界大圍積存街74–76號震豪樓地下B舖,"Shop B, G/F, Hing Wan House, 74–76 Chik Shun Street, Tai Wai, N.T.",2694 1452,N/A,,https://www.hongkongvet.com/en/about/main/2,"9:00am-7:00pm
Sun 9:00am-5:00pm",
New Territories,新界,新界北區,New Territories North District,上水寵物診所,Sheung Shui Veterinary Clinic,香港新界上水新豐路8號,"8 San Shing Avenue, Sheung Shui, N.T.",2639 2229,sheungshuivet@gmail.com,,,9:30am-8:00pm,
Kowloon,九龍,九龍城區,Kowloon City District,桑栢道寵物診所,Soares Avenue Paws & Claws Clinic,九龍何文田桑栢道29–33號地下,"G/F, 29–33 Soares Avenue, Ho Man Tin, KLN.",2760 9663,85263764317,,https://www.pawsandclaws.com.hk/,"9:00am-1:00pm, 2:00-6:30pm
Sun & Public Holiday  9:00am-1:00pm, 2:00pm-5:00pm",
Hong Kong Island,港島,中西及南區,"Central, Western and Southern District",南區動物診所,Southern Animal Clinic,香港香港仔正街223–227號ABBA中心地下4號舖,"Shop 4, G/F, ABBA Centre, 223–227 Aberdeen Main Road, HK",2889 5238 ,N/A,,,"10:00am-1:00pm, 4:00-9:00pm",
Hong Kong Island,港島,中西及南區,"Central, Western and Southern District",南區獸醫中心,Southern District Veterinary Centre,香港鴨脷洲鴨脷洲大街165–167號愉景樓地下A1–A2舖,"Shop A1–A2, G/F, Happy View Building, 165–167 Ap Lei Chau Main Street, Ap Lei Chau, HK",2805 1318 ,N/A,,https://www.facebook.com/p/Southern-District-Veterinary-Centre-%E5%8D%97%E5%8D%80%E7%8D%B8%E9%86%AB%E4%B8%AD%E5%BF%83-100063616373955/,10:00am-8:00pm,
Hong Kong Island,港島,中西及南區,"Central, Western and Southern District",Southside Vets,Southside Vets,香港淺水灣海灘道28號The Pulse商場2樓205及206號舖,"Shops 205 & 206, Level 2, The Pulse, 28 Beach Road, Repulse Bay, HK",2515 3711,6073 7691,,https://www.southsidevets.hk/,"10:00am-7:00pm
Sat 10:00am-6:00pm
Sun 10:00am-2:00pm",
Hong Kong Island,港島,灣仔區,Wan Chai District,香港愛護動物協會,SPCA (HK),香港灣仔運盛街5號,"5 Wan Shing Street, Wan Chai, HK",2802 0501,5645 8497,Y,https://www.spca.org.hk/zh-hant/,Open 24hrs daily,
Kowloon,九龍,黃大仙區 ,Wong Tai Sin District,新蒲崗動物醫院,SPK Animal Hospital,香港九龍新蒲崗景福街77號地下,"G/F, 77 King Fuk Street, San Po Kong, KLN.",2420 2266,booking@spk-vet.com,,https://www.spk-vet.com/,"10:00am-2:00pm, 3:00-7:00pm",
Hong Kong Island,港島,中西及南區,"Central, Western and Southern District",赤柱寵物診所,Stanley Veterinary Centre,香港赤柱黃麻角道10–12號LG層,"LG/F, 10–12 Wong Ma Kok Road, Stanley, HK",2813 2030,info@stanleyvetcentre.com,,https://stanleyvetcentre.com/,"9:00am-6:00pm
Sat 9:00am-1:00pm, 2:00-5:00pm
Sun - Closed",
Hong Kong Island,港島,東區,Eastern District,日朗動物醫院,Sunny Side Animal Hospital,香港柴灣連城道26號地下,"26 Lin Shing Rd, Chai Wan",3575 9832,85268517219,,https://www.sunnysidevet.com.hk/en,"9:00am-2:00pm, 3:00-7:00pm",
New Territories,新界,沙田區 ,Sha Tin District ,新港城獸醫診所,Sunshine City Veterinary Clinic,香港新界馬鞍山新港城廣場1期地下16及17舖,"Shop 16 & 17, G/F, Sunshine City Plaza, Phase 1, Ma On Shan, N.T.",2677 7008,sunshinecityvet@gmail.com,,http://www.sunshinecityvet.com/contact.html,"9:00am-1:00pm, 3:00pm-7:00pm
Sun - Closed
Public Holidays 10:00am-6:00pm",
New Territories,新界,元朗區,Yuen Long District,晨晴動物醫院,Swanston Veterinary Hospital,香港新界元朗安寧路38號世昌樓9號舖,"Shop 09, G/F, Yuccie Square, 38 On Ning Road, Yuen Long, N.T.",2123 9206,info@swanstonvet.com,,https://www.swanstonvet.com/,10:00am-8:00pm,
Hong Kong Island,港島,灣仔區,Wan Chai District,大坑動物診所,Tai Hang Veterinary Clinic,香港大坑雲霞街1–5號雲霞閣地下2號舖,"Shop 2, G/F, Wun Sha Court, 1–5 Wun Sha Street, Tai Hang, HK",2577 5755,N/A,,N/A,"10:30am-2:00pm, 4:00-7:00pm
Sat & Sun 12:00-6:00pm",
